ticker,exchange,assetType,priceCurrency,startDate,endDate
A,NYSE,Stock,USD,1999-11-18,2021-03-10
AA,NYSE,Stock,USD,2016-11-01,2021-03-10
AA-W,NYSE,Stock,USD,2016-10-18,2016-11-08
AAA,NYSE ARCA,ETF,USD,2020-09-09,2021-03-10
AAACX,NASDAQ,Mutual Fund,USD,2019-10-01,2021-03-10
AAAP,NASDAQ,Stock,USD,2015-11-11,2018-02-20
AAAU,NYSE ARCA,ETF,USD,2018-08-15,2021-03-10
AABA,NASDAQ,Stock,USD,1996-04-12,2019-11-06
AAC,NYSE,Stock,USD,2014-10-02,2019-11-04
AAC-U,NYSE,Stock,USD,2021-02-02,2021-03-10
AACC,NASDAQ,Stock,USD,2004-02-05,2013-10-17
AACG,NASDAQ,Stock,USD,2008-01-29,2021-03-10
AACQ,NASDAQ,Stock,USD,2020-09-04,2021-03-10
AACQU,NASDAQ,Stock,USD,2020-07-14,2021-03-10
AACQW,NASDAQ,Stock,USD,2020-09-04,2021-03-10
AADR,NYSE ARCA,ETF,USD,2010-07-21,2021-03-10
AAI,NYSE,Stock,USD,2001-09-17,2011-11-30
AAIC,NYSE,Stock,USD,1997-12-23,2021-03-10
AAIC-P-B,NYSE,Stock,USD,2017-05-16,2021-03-10
AAIC-P-C,NYSE,Stock,USD,2019-03-06,2021-03-10
AAIDX,NASDAQ,Mutual Fund,USD,2019-01-30,2021-03-10
AAIT,NASDAQ,ETF,USD,2012-02-09,2015-08-31
AAL,NASDAQ,Stock,USD,2005-09-27,2021-03-10
AAMC,NYSE MKT,Stock,USD,2012-12-13,2021-03-10
AAME,NASDAQ,Stock,USD,1984-09-07,2021-03-10
AAMRQ,NYSE,Stock,USD,2001-01-02,2013-12-17
AAN,NYSE,Stock,USD,2020-11-25,2021-03-10
AAN-W,NYSE,Stock,USD,2020-11-25,2020-11-30
AAOI,NASDAQ,Stock,USD,2013-09-26,2021-03-10
AAON,NASDAQ,Stock,USD,1992-12-16,2021-03-10
AAP,NYSE,Stock,USD,2001-11-29,2021-03-10
AAPC,NASDAQ,Stock,USD,2015-04-29,2017-10-04
AAPL,NASDAQ,Stock,USD,1980-12-12,2021-03-10
AAT,NYSE,Stock,USD,2011-01-13,2021-03-10
AATI,NASDAQ,Stock,USD,2005-08-04,2012-01-27
AAU,NYSE MKT,Stock,USD,2005-12-20,2021-03-10
AAV,NYSE,Stock,USD,2004-03-31,2018-12-14
AAWW,NASDAQ,Stock,USD,2005-11-09,2021-03-10
AAXJ,NASDAQ,ETF,USD,2008-08-15,2021-03-10
AB,NYSE,Stock,USD,1988-04-15,2021-03-10
ABAX,NASDAQ,Stock,USD,1992-01-23,2018-08-01
ABB,NYSE,Stock,USD,2001-04-06,2021-03-10
ABBC,NASDAQ,Stock,USD,2004-12-17,2011-10-10
ABBV,NYSE,Stock,USD,2013-01-02,2021-03-10
ABC,NYSE,Stock,USD,1995-04-04,2021-03-10
ABCB,NASDAQ,Stock,USD,1994-05-19,2021-03-10
ABCD,NASDAQ,Stock,USD,2009-12-09,2018-12-18
ABCL,NASDAQ,Stock,USD,2020-12-11,2021-03-10
ABCM,NASDAQ,Stock,USD,2010-12-03,2021-03-10
ABCO,NASDAQ,Stock,USD,2001-11-13,2017-11-17
ABCW,NASDAQ,Stock,USD,2016-01-04,2016-05-09
ABDC,NASDAQ,Stock,USD,2014-05-09,2020-01-31
ABE,NYSE MKT,ETF,USD,2001-01-02,2018-04-27
ABEO,NASDAQ,Stock,USD,1980-09-19,2021-03-10
ABEOW,NASDAQ,Stock,USD,2015-06-22,2019-12-20
ABEQ,NYSE ARCA,ETF,USD,2020-01-22,2021-03-10
ABEV,NYSE,Stock,USD,1997-03-05,2021-03-10
ABFS,NASDAQ,Stock,USD,1992-05-13,2014-05-13
ABG,NYSE,Stock,USD,2002-03-21,2021-03-10
ABGB,NASDAQ,Stock,USD,2016-01-04,2016-05-05
ABGBY,NASDAQ,Stock,USD,2016-05-02,2016-05-13
ABGI,NASDAQ,Stock,USD,2021-02-17,2021-03-10
ABI,NYSE ARCA,Stock,USD,2009-05-11,2014-05-15
ABII,NASDAQ,Stock,USD,2007-11-15,2010-10-25
ABILW,NASDAQ,Stock,USD,2016-01-04,2016-04-07
ABIO,NASDAQ,Stock,USD,1997-08-08,2021-03-10
ABLX,NASDAQ,Stock,USD,2017-10-20,2018-06-22
ABM,NYSE,Stock,USD,1984-07-19,2021-03-10
ABMD,NASDAQ,Stock,USD,1987-07-30,2021-03-10
ABNB,NASDAQ,Stock,USD,2020-12-10,2021-03-10
ABR,NYSE,Stock,USD,2004-04-07,2021-03-10
ABR-P-A,NYSE,Stock,USD,2014-09-22,2021-03-10
ABR-P-B,NYSE,Stock,USD,2014-09-22,2021-03-10
ABR-P-C,NYSE,Stock,USD,2014-02-24,2021-03-10
ABRN,NYSE,Stock,USD,2014-05-15,2018-04-26
ABST,NASDAQ,Stock,USD,2020-10-28,2021-03-10
ABT,NYSE,Stock,USD,1983-04-06,2021-03-10
ABTL,NASDAQ,Stock,USD,1999-03-26,2017-10-06
ABTX,NASDAQ,Stock,USD,2015-10-08,2021-03-10
ABUS,NASDAQ,Stock,USD,2015-08-03,2021-03-10
ABVA,NASDAQ,Stock,USD,2001-12-05,2013-01-07
ABVT,NYSE,Stock,USD,2010-12-02,2013-07-10
ABY,NASDAQ,Stock,USD,2014-06-13,2017-11-13
AC,NYSE,Stock,USD,2015-12-01,2021-03-10
ACA,NYSE,Stock,USD,2018-10-30,2021-03-10
ACAC,NASDAQ,Stock,USD,2020-12-21,2021-03-10
ACACU,NASDAQ,Stock,USD,2020-10-23,2021-03-10
ACACW,NASDAQ,Stock,USD,2020-12-15,2021-03-10
ACAD,NASDAQ,Stock,USD,2004-05-27,2021-03-10
ACAHU,NASDAQ,Stock,USD,2021-03-04,2021-03-10
ACAMU,NASDAQ,Stock,USD,2019-02-22,2021-01-21
ACAP,NASDAQ,Stock,USD,2001-01-02,2010-11-01
ACAS,NASDAQ,Stock,USD,1997-09-02,2017-01-11
ACAT,NASDAQ,Stock,USD,2001-01-02,2017-03-07
ACB,NYSE,Stock,USD,2014-07-11,2021-03-10
ACBI,NASDAQ,Stock,USD,2015-11-02,2021-03-10
ACC,NYSE,Stock,USD,2004-08-12,2021-03-10
ACCD,NASDAQ,Stock,USD,2020-07-02,2021-03-10
ACCL,NASDAQ,Stock,USD,1995-12-06,2014-05-06
ACCO,NYSE,Stock,USD,2005-08-17,2021-03-10
ACCU,NYSE ARCA,ETF,USD,2012-01-26,2015-01-20
ACEL,NYSE,Stock,USD,2019-11-21,2021-03-10
ACEL-WS,NYSE,Stock,USD,2019-11-21,2020-07-15
ACER,NASDAQ,Stock,USD,2017-09-22,2021-03-10
ACERW,NASDAQ,Stock,USD,2015-04-14,2018-04-05
ACES,NYSE ARCA,ETF,USD,2018-06-29,2021-03-10
ACET,NASDAQ,Stock,USD,2018-01-26,2021-03-10
ACETQ,NASDAQ,Stock,USD,1990-03-26,2019-10-01
ACEV,NASDAQ,Stock,USD,2020-09-21,2021-03-10
ACEVU,NASDAQ,Stock,USD,2020-07-28,2021-03-10
ACEVW,NASDAQ,Stock,USD,2020-09-17,2021-03-10
ACF,NYSE,Stock,USD,2010-09-30,2011-10-10
ACFC,NASDAQ,Stock,USD,2004-10-05,2018-05-29
ACG,NYSE,ETF,USD,1987-08-20,2016-04-26
ACGL,NASDAQ,Stock,USD,1995-09-14,2021-03-10
ACGLO,NASDAQ,Stock,USD,2017-08-15,2021-03-10
ACGLP,NASDAQ,Stock,USD,2016-09-23,2021-03-10
ACH,NYSE,Stock,USD,2001-12-11,2021-03-10
ACHC,NASDAQ,Stock,USD,1994-03-04,2021-03-10
ACHN,NASDAQ,Stock,USD,2006-11-09,2020-01-28
ACHV,NASDAQ,Stock,USD,1995-10-13,2021-03-10
ACI,NYSE,Stock,USD,2020-06-26,2021-03-10
ACI,NYSE,Stock,USD,1988-08-12,2016-01-11
ACIA,NASDAQ,Stock,USD,2016-05-13,2021-03-01
ACIC,NYSE,Stock,USD,2020-12-18,2021-03-10
ACIC-U,NYSE,Stock,USD,2020-10-28,2021-03-10
ACIC-WS,NYSE,Stock,USD,2020-12-18,2021-03-10
ACII-U,NYSE,Stock,USD,2021-02-04,2021-03-10
ACIU,NASDAQ,Stock,USD,2016-09-23,2021-03-10
ACIW,NASDAQ,Stock,USD,1995-02-27,2021-03-10
ACKIT,NASDAQ,Stock,USD,2021-02-04,2021-03-10
